name,state,city
"Lalbagh, Lucknow - CPCB",Uttar Pradesh,Lucknow
"Talkatora District Industries Center, Lucknow - CPCB",Uttar Pradesh,Lucknow
"Ganga Nagar, Meerut - UPPCB",Uttar Pradesh,Meerut
"Jai Bhim Nagar, Meerut - UPPCB",Uttar Pradesh,Meerut
"Pallavpuram Phase 2, Meerut - UPPCB",Uttar Pradesh,Meerut
"Buddhi Vihar, Moradabad - UPPCB",Uttar Pradesh,Moradabad
"Eco Herbal Park, Moradabad - UPPCB",Uttar Pradesh,Moradabad
"Employment Office, Moradabad - UPPCB",Uttar Pradesh,Moradabad
"Jigar Colony, Moradabad - UPPCB",Uttar Pradesh,Moradabad
"Kashiram Nagar, Moradabad - UPPCB",Uttar Pradesh,Moradabad
"Lajpat Nagar, Moradabad - UPPCB",Uttar Pradesh,Moradabad
"Transport Nagar, Moradabad - UPPCB",Uttar Pradesh,Moradabad
"New Mandi, Muzaffarnagar - UPPCB",Uttar Pradesh,Muzaffarnagar
"Sector - 125, Noida - UPPCB",Uttar Pradesh,Noida
"Sector - 62, Noida - IMD",Uttar Pradesh,Noida
"Sector-1, Noida - UPPCB",Uttar Pradesh,Noida
"Sector-116, Noida - UPPCB",Uttar Pradesh,Noida
"Jhunsi, Prayagraj - UPPCB",Uttar Pradesh,Prayagraj
"Motilal Nehru NIT, Prayagraj - UPPCB",Uttar Pradesh,Prayagraj
"Nagar Nigam, Prayagraj - UPPCB",Uttar Pradesh,Prayagraj
"Ardhali Bazar, Varanasi - UPPCB",Uttar Pradesh,Varanasi
"Bhelupur, Varanasi - UPPCB",Uttar Pradesh,Varanasi
"IESD Banaras Hindu University, Varanasi - UPPCB",Uttar Pradesh,Varanasi
"Maldahiya, Varanasi - UPPCB",Uttar Pradesh,Varanasi
"Omex Eternity, Vrindavan - UPPCB",Uttar Pradesh,Vrindavan
"Doon University, Dehradun - UKPCB",Uttarakhand,Dehradun
"Govt. Girls Inter College, Kashipur - UKPCB",Uttarakhand,Kashipur
"Shivaji Nagar, Rishikesh - UKPCB",Uttarakhand,Rishikesh
"Asansol Court Area, Asansol - WBPCB",West Bengal,Asansol
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",West Bengal,Durgapur
"Priyambada Housing Estate, Haldia - WBPCB",West Bengal,Haldia
"Belur Math, Howrah - WBPCB",West Bengal,Howrah
"Ghusuri, Howrah - WBPCB",West Bengal,Howrah
"Padmapukur, Howrah - WBPCB",West Bengal,Howrah
"Ballygunge, Kolkata - WBPCB",West Bengal,Kolkata
"Bidhannagar, Kolkata - WBPCB",West Bengal,Kolkata
"Fort William, Kolkata - WBPCB",West Bengal,Kolkata
"Jadavpur, Kolkata - WBPCB",West Bengal,Kolkata
"Rabindra Bharati University, Kolkata - WBPCB",West Bengal,Kolkata
"Rabindra Sarobar, Kolkata - WBPCB",West Bengal,Kolkata
"Victoria, Kolkata - WBPCB",West Bengal,Kolkata
"Ward-32 Bapupara, Siliguri - WBPCB",West Bengal,Siliguri
"Chauhan Colony, Chandrapur - MPCB (Formerly know as Chandrapur)",Maharashtra,Chandrapur
"Priyambada Housing Estate, Haldia - WBPCB (Formerly ""Haldia"")",West Bengal,Haldia
"Chandrapur, Chandrapur - MPCB",Maharashtra,Chandrapur
"Haldia, Haldia - WBPCB",West Bengal,Haldia
"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi
"PWD Grounds, Vijayawada - APPCB",Andhra Pradesh,Vijayawada
"Sadar Bazar, Jaisalmer - RSPCB",Rajasthan,Jaisalmer
"Mandor, Jodhpur - RSPCB",Rajasthan,Jodhpur
"Digari Kalan, Jodhpur - RSPCB",Rajasthan,Jodhpur
"New Colony, Bundi - RSPCB",Rajasthan,Bundi
"Nishant Ganj, Lucknow - UPPCB",Uttar Pradesh,Lucknow
"Sinchan Bhavan, Kolhapur - MPCB",Maharashtra,Kolhapur
"Shivaji University, Kolhapur - MPCB",Maharashtra,Kolhapur
"Kasturi Nagar, Bengaluru - KSPCB",Karnataka,Bengaluru
"Jigani, Bengaluru - KSPCB",Karnataka,Bengaluru
